               table_name                |      column_name       | data_type |       fk_column        |    foreign_table_name     | foreign_column_name 
 imaging_studies                         | patient_id             | uuid      | patient_id             | patients                  | id
 imaging_studies                         | visit_id               | uuid      | visit_id               | visits                    | id
 imaging_viewer_sessions                 | organization_id        | uuid      | organization_id        | organizations             | id
 imaging_viewer_sessions                 | patient_id             | uuid      | patient_id             | patients                  | id
 imaging_viewer_sessions                 | study_id               | uuid      | study_id               | imaging_studies           | id
 imaging_viewer_sessions                 | visit_id               | uuid      | visit_id               | visits                    | id
 import_batches                          | organization_id        | uuid      | organization_id        | organizations             | id
 insurance_contracts                     | organization_id        | uuid      | organization_id        | organizations             | id
 inventory_items                         | organization_id        | uuid      | organization_id        | organizations             | id
 inventory_transactions                  | organization_id        | uuid      | organization_id        | organizations             | id
 kkm_item_quantity_units                 | organization_id        | uuid      | organization_id        | organizations             | id
 lab_orders                              | organization_id        | uuid      | organization_id        | organizations             | id
 lab_orders                              | patient_id             | uuid      | patient_id             | patients                  | id
 landing_field_mappings                  | organization_id        | uuid      | organization_id        | organizations             | id
 lost_patients_filters                   | organization_id        | uuid      | organization_id        | organizations             | id
 message_template_catalogs               | organization_id        | uuid      | organization_id        | organizations             | id
 messenger_file_attachments              | organization_id        | uuid      | organization_id        | organizations             | id
 messenger_inbound_events                | organization_id        | uuid      | organization_id        | organizations             | id
 migration_entity_links                  | created_by_run_id      | uuid      | created_by_run_id      | migration_runs            | id
 migration_entity_links                  | organization_id        | uuid      | organization_id        | organizations             | id
 migration_quarantine_records            | organization_id        | uuid      | organization_id        | organizations             | id
 migration_quarantine_records            | resolved_by_user_id    | uuid      | resolved_by_user_id    | users                     | id
 migration_quarantine_records            | run_id                 | uuid      | run_id                 | migration_runs            | id
 migration_quarantine_records            | staging_record_id      | uuid      | staging_record_id      | migration_staging_records | id
 migration_reconciliations               | organization_id        | uuid      | organization_id        | organizations             | id
 migration_reconciliations               | run_id                 | uuid      | run_id                 | migration_runs            | id
 migration_runs                          | organization_id        | uuid      | organization_id        | organizations             | id
 migration_runs                          | started_by_user_id     | uuid      | started_by_user_id     | users                     | id
